institución,localidad,carrera,activa_inactiva,codigo_actual,nuevo_codigo
ACADEMIA MILITAR DE VENEZUELA,CARACAS,CIENCIAS Y ARTES MILITARES OPCIÓN TERRESTRE,inactiva,52,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,CAGUA,ADMINISTRACION DE ADUANAS,activa,2405,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,CAGUA,ADMINISTRACIÓN ADUANERA (TÉCNICA),inactiva,2404,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,CAGUA,ADMINISTRACIÓN DE EMPRESAS (TÉCNICA),activa,2398,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,CAGUA,ADMINISTRACIÓN DE RECURSOS HUMANOS (TÉCNICA),activa,2402,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,CAGUA,CONTADURÍA (TÉCNICA),activa,2401,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,CAGUA,INFORMÁTICA (TÉCNICA),activa,2399,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,CAGUA,MERCADOTECNIA,activa,2403,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,CAGUA,PREESCOLAR (TÉCNICA),activa,2400,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,CAGUA,TURISMO MENCIÓN HOTELERÍA (TÉCNICA),activa,2406,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,CALABOZO,ADMINISTRACIÓN DE EMPRESAS (TÉCNICA),activa,2395,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,CALABOZO,CONTADURÍA (TÉCNICA),activa,2397,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,CALABOZO,INFORMÁTICA (TÉCNICA),activa,2393,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,CALABOZO,MERCADOTECNIA,activa,2396,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,CALABOZO,PREESCOLAR (TÉCNICA),activa,2394,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,CARACAS,ADMINISTRACION DE ADUANAS,activa,2429,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,CARACAS,ADMINISTRACIÓN ADUANERA (TÉCNICA),inactiva,2428,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,CARACAS,ADMINISTRACIÓN DE EMPRESAS (TÉCNICA),activa,2425,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,CARACAS,ADMINISTRACIÓN DE RECURSOS HUMANOS (TÉCNICA),activa,2424,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,CARACAS,CONTADURÍA (TÉCNICA),activa,2427,
COLEGIO UNIVERSITARIO DE ADMINISTRACIÓN Y MERCADEO,CARACAS,INFORMÁTICA (TÉCNICA),activa,2423,
