"institución","localidad","carrera","activa_inactiva","codigo_actual"
"COLEGIO UNIVERSITARIO DE REHABILITACIÓN ""MAY HAMILTON""",CARACAS,PNF EN FISIOTERAPIA,activa,1003798
"COLEGIO UNIVERSITARIO DE REHABILITACIÓN ""MAY HAMILTON""",CARACAS,PNF EN FONOAUDIOLOGÍA,activa,1003797
"COLEGIO UNIVERSITARIO DE REHABILITACIÓN ""MAY HAMILTON""",CARACAS,PNF EN TERAPIA OCUPACIONAL,activa,1003799
"COLEGIO UNIVERSITARIO DE REHABILITACIÓN ""MAY HAMILTON""",CARACAS,PNF EN ÓRTESIS Y PRÓTESIS,activa,1003796
UNIVERSIDAD BOLIVARIANA DE VENEZUELA, MARACAIBO-ZULIA,AGROECOLOGÍA,activa,1001525
UNIVERSIDAD BOLIVARIANA DE VENEZUELA, MARACAIBO-ZULIA,ARQUITECTURA,activa,1001526
UNIVERSIDAD BOLIVARIANA DE VENEZUELA, MARACAIBO-ZULIA,COMUNICACIÓN SOCIAL,activa,1001520
UNIVERSIDAD BOLIVARIANA DE VENEZUELA, MARACAIBO-ZULIA,ESTUDIOS POLÍTICOS Y GOBIERNO,activa,1001523
UNIVERSIDAD BOLIVARIANA DE VENEZUELA, MARACAIBO-ZULIA,GESTIÓN AMBIENTAL,activa,1001522
UNIVERSIDAD BOLIVARIANA DE VENEZUELA, MARACAIBO-ZULIA,GESTIÓN DE SALUD PÚBLICA,activa,1001528
UNIVERSIDAD BOLIVARIANA DE VENEZUELA, MARACAIBO-ZULIA,GESTIÓN SOCIAL PARA EL DESARROLLO LOCAL,activa,1001519
UNIVERSIDAD BOLIVARIANA DE VENEZUELA, MARACAIBO-ZULIA,INFORMÁTICA PARA LA GESTIÓN SOCIAL,activa,1000741
UNIVERSIDAD BOLIVARIANA DE VENEZUELA, MARACAIBO-ZULIA,INGENIERÍA DE GAS,activa,1001529
UNIVERSIDAD BOLIVARIANA DE VENEZUELA, MARACAIBO-ZULIA,INGENIERÍA DE PETRÓLEO,activa,1001487
UNIVERSIDAD BOLIVARIANA DE VENEZUELA, MARACAIBO-ZULIA,INGENIERÍA EN REFINACIÓN Y PETROQUÍMICA,activa,1001542
UNIVERSIDAD BOLIVARIANA DE VENEZUELA, MARACAIBO-ZULIA,TECNOLOGÍA DE GAS,activa,1001447
UNIVERSIDAD BOLIVARIANA DE VENEZUELA,CARABOBO,COMUNICACIÓN SOCIAL,activa,1001309
UNIVERSIDAD BOLIVARIANA DE VENEZUELA,CARABOBO,GESTIÓN AMBIENTAL,activa,1001307
UNIVERSIDAD BOLIVARIANA DE VENEZUELA,CARABOBO,GESTIÓN SOCIAL PARA EL DESARROLLO LOCAL,activa,1001308
UNIVERSIDAD BOLIVARIANA DE VENEZUELA,CARACAS,AGROECOLOGÍA,activa,1001570
UNIVERSIDAD BOLIVARIANA DE VENEZUELA,CARACAS,ARQUITECTURA,activa,1001550
UNIVERSIDAD BOLIVARIANA DE VENEZUELA,CARACAS,COMUNICACIÓN SOCIAL,activa,1001544
UNIVERSIDAD BOLIVARIANA DE VENEZUELA,CARACAS,ECONOMÍA POLÍTICA,activa,1001560
UNIVERSIDAD BOLIVARIANA DE VENEZUELA,CARACAS,EDUCACIÓN,activa,1001551
UNIVERSIDAD BOLIVARIANA DE VENEZUELA,CARACAS,ESTUDIOS POLÍTICOS Y GOBIERNO,activa,1001572
UNIVERSIDAD BOLIVARIANA DE VENEZUELA,CARACAS,GESTIÓN AMBIENTAL,activa,1001549
UNIVERSIDAD BOLIVARIANA DE VENEZUELA,CARACAS,GESTIÓN DE SALUD PÚBLICA,activa,1001555
UNIVERSIDAD BOLIVARIANA DE VENEZUELA,CARACAS,GESTIÓN SOCIAL PARA EL DESARROLLO LOCAL,activa,1001548
UNIVERSIDAD BOLIVARIANA DE VENEZUELA,CARACAS,INFORMÁTICA PARA LA GESTIÓN SOCIAL,activa,1001554
UNIVERSIDAD BOLIVARIANA DE VENEZUELA,CARACAS,PFG EN PSICOLOGÍA,activa,1006069
UNIVERSIDAD BOLIVARIANA DE VENEZUELA,CARACAS,PNF EN SEGURIDAD ALIMENTARIA Y CULTURA NUTRICIONAL,activa,1001562
UNIVERSIDAD BOLIVARIANA DE VENEZUELA,CARACAS,RADIOTERAPIA,activa,1001573
UNIVERSIDAD BOLIVARIANA DE VENEZUELA,CIUDAD BOLIVAR,AGROECOLOGÍA,activa,1001423
UNIVERSIDAD BOLIVARIANA DE VENEZUELA,CIUDAD BOLIVAR,ARQUITECTURA,activa,1000761
UNIVERSIDAD BOLIVARIANA DE VENEZUELA,CIUDAD BOLIVAR,COMUNICACIÓN SOCIAL,activa,1001420
UNIVERSIDAD BOLIVARIANA DE VENEZUELA,CIUDAD BOLIVAR,EDUCACIÓN,activa,1001424
UNIVERSIDAD BOLIVARIANA DE VENEZUELA,CIUDAD BOLIVAR,ESTUDIOS JURÍDICOS,activa,1001415
UNIVERSIDAD BOLIVARIANA DE VENEZUELA,CIUDAD BOLIVAR,ESTUDIOS POLÍTICOS Y GOBIERNO,activa,1001427
